OQ	1.0000 0.6578 0 0 0 1 0 0 0 0 1 0.2500 17 15 15 1 0 0 0 0.066 0.831 0.102 1 0
PA	0.0000 0.4745 0 0 0 0 0 0 0 0 2 0.5000 8 8 8 0 0 0 0 0.295 0.449 0.256 1 0
FD	0.0000 0.2710 0 1 0 0 0 0 0 0 3 0.7500 3 3 3 0 0 0 0 0.255 0.745 0.0 0 0
PA	0.0000 0.6036 0 0 0 0 0 0 0 0 4 1.0000 13 12 12 0 1 0 0 0.0 0.894 0.106 1 0

OQ	1.0000 0.2978 0 0 0 0 0 0 0 1 1 0.2500 13 13 13 1 0 0 0 0.114 0.675 0.211 0 2
CQ	0.0291 0.5823 1 0 0 1 0 0 0 1 2 0.5000 38 31 31 0 0 0 0 0.038 0.858 0.104 3 2
FD_PF	0.0844 0.7701 0 0 1 0 0 0 0 1 3 0.7500 54 43 40 1 1 0 0 0.07 0.838 0.092 0 3
PF	0.0121 0.4116 0 1 0 0 0 0 0 0 4 1.0000 22 20 20 0 1 0 0 0.0 0.782 0.218 2 2

OQ	1.0000 0.6234 0 0 0 0 0 0 0 1 1 0.2500 31 27 26 1 0 0 0 0.062 0.901 0.037 2 1
PA	0.0255 0.4938 0 0 0 0 0 0 0 0 2 0.5000 22 19 19 0 0 0 0 0.0 0.956 0.044 0 2
FD_NF	0.3916 0.4564 0 0 0 0 0 0 0 0 3 0.7500 15 13 13 1 0 0 0 0.0 1.0 0.0 0 0
PA_PF	0.1034 0.7411 0 0 0 0 0 0 0 1 4 1.0000 51 37 33 0 0 0 0 0.038 0.863 0.1 0 0

OQ	1.0000 0.6191 0 1 1 0 0 0 0 1 1 0.1111 44 40 40 1 0 0 1 0.117 0.807 0.076 0 2
IR_PA	0.0301 0.1555 0 0 0 0 0 0 0 0 2 0.2222 13 13 13 0 0 0 0 0.068 0.837 0.095 1 2
CQ_FD	0.0371 0.2710 0 0 0 0 0 0 0 0 3 0.3333 16 16 16 0 0 0 0 0.0 0.827 0.173 1 0
FD	0.0000 0.0953 0 0 0 0 0 0 0 0 4 0.4444 2 2 2 0 0 0 0 0.0 1.0 0.0 0 1
FD	0.0000 0.0458 0 0 0 0 0 0 0 0 5 0.5556 3 3 3 0 0 0 0 0.0 1.0 0.0 0 1
PA	0.1362 0.6963 0 0 1 1 0 0 1 1 6 0.6667 70 51 48 0 0 0 1 0.045 0.851 0.103 5 3
FD	0.2919 0.5245 0 0 0 0 0 0 0 0 7 0.7778 35 32 32 1 1 0 0 0.0 0.928 0.072 1 3
PF	0.0000 0.0686 0 0 0 0 0 0 0 0 8 0.8889 4 4 4 1 1 0 0 0.0 0.706 0.294 2 0
PF	0.0393 0.1310 0 0 0 0 0 0 0 0 9 1.0000 6 6 6 1 1 0 0 0.0 0.595 0.405 1 0

OQ	1.0000 0.7740 1 1 1 0 0 0 0 0 1 0.3333 53 37 31 1 0 0 0 0.025 0.878 0.097 2 1
PA	0.1478 0.6368 1 0 0 0 0 0 0 0 2 0.6667 42 31 30 0 1 0 0 0.0 0.645 0.355 3 0
PA	0.2482 0.6494 1 0 0 0 0 0 0 0 3 1.0000 30 21 20 0 0 0 0 0.0 0.762 0.238 0 0

OQ	1.0000 0.6500 0 0 0 0 0 0 0 1 1 0.2500 39 32 30 1 0 0 0 0.049 0.864 0.087 1 1
IR_PA	0.1890 0.7496 1 0 1 0 0 0 0 0 2 0.5000 55 43 40 0 1 0 0 0.025 0.832 0.144 1 3
FD_IR	0.0000 0.3681 0 0 0 0 0 0 0 0 3 0.7500 11 11 11 0 0 0 0 0.0 0.757 0.243 0 0
PA	0.1780 0.5911 1 0 0 0 0 0 0 0 4 1.0000 24 18 16 0 0 0 0 0.0 0.886 0.114 0 0

IR_OQ	1.0000 0.5243 0 0 0 0 0 0 0 1 1 0.1111 78 66 61 1 0 0 0 0.06 0.901 0.039 2 2
FD_NF	0.1584 0.2752 0 0 0 0 0 0 0 0 2 0.2222 14 13 13 0 0 0 0 0.31 0.69 0.0 0 2
CQ_IR_PA	0.0577 0.7158 1 0 0 0 1 0 0 0 3 0.3333 156 112 104 0 1 1 0 0.058 0.802 0.14 5 9
FD	0.0919 0.3331 0 0 0 0 0 0 0 0 4 0.4444 27 26 26 1 0 0 0 0.03 0.932 0.037 1 0
FD	0.0646 0.4201 1 0 0 0 0 0 0 0 5 0.5556 54 49 46 0 1 0 0 0.125 0.763 0.112 1 4
PA	0.0000 0.2716 0 0 0 1 0 0 0 0 6 0.6667 18 17 17 0 1 0 0 0.0 0.798 0.202 2 1
CQ_PA	0.0108 0.2160 1 0 0 0 0 0 0 0 7 0.7778 12 12 12 0 1 0 0 0.0 0.697 0.303 2 0
FD	0.0363 0.3140 0 0 0 0 0 0 0 0 8 0.8889 15 12 12 0 1 0 0 0.164 0.836 0.0 0 2
PA	0.0125 0.3364 0 0 0 0 0 0 0 0 9 1.0000 22 19 19 0 1 0 0 0.0 0.769 0.231 2 1

OQ	1.0000 0.7837 0 0 0 0 0 0 1 0 1 0.1667 29 18 18 1 0 0 0 0.052 0.893 0.055 0 0
FD	0.2647 0.4447 0 0 0 0 0 0 0 0 2 0.3333 26 23 23 0 1 0 0 0.0 0.826 0.174 2 1
PA	0.3697 0.6601 0 0 1 1 0 0 1 1 3 0.5000 42 35 35 1 0 0 0 0.05 0.937 0.013 1 2
PA_PF	0.2852 0.5115 0 0 0 0 0 0 0 0 4 0.6667 17 16 15 0 0 0 0 0.0 1.0 0.0 0 0
PF	0.0000 0.0743 0 0 0 0 0 0 0 0 5 0.8333 5 5 5 1 1 0 0 0.199 0.442 0.359 1 1
OQ	0.3759 0.6489 1 0 1 0 0 0 0 0 6 1.0000 35 27 26 0 0 0 0 0.07 0.9 0.03 0 0

OQ	1.0000 0.6385 0 1 0 0 0 0 0 0 1 0.2500 35 27 26 1 0 0 0 0.029 0.971 0.0 0 1
PA	0.3053 0.7548 1 1 1 0 0 0 0 0 2 0.5000 50 39 37 0 0 0 0 0.0 0.87 0.13 1 0
PF	0.0209 0.3819 0 0 0 0 0 0 0 0 3 0.7500 12 11 11 1 0 0 0 0.0 0.586 0.414 0 0
GG	0.0383 0.5499 0 0 0 0 0 0 0 0 4 1.0000 20 19 19 0 1 0 0 0.0 0.758 0.242 2 1

OQ	1.0000 0.6482 0 0 1 1 0 0 0 0 1 0.2500 57 41 39 1 0 0 0 0.0 0.925 0.075 4 0
PA	0.2261 0.7242 0 0 1 1 0 0 0 0 2 0.5000 42 39 35 0 0 0 0 0.0 0.953 0.047 2 0
PA	0.2950 0.8400 1 0 0 0 0 0 0 0 3 0.7500 62 52 50 0 0 0 0 0.023 0.958 0.02 4 2
PF	0.0000 0.0400 0 0 0 0 0 0 0 0 4 1.0000 4 4 4 1 1 0 0 0.0 0.282 0.718 0 0

OQ	1.0000 0.7575 0 0 0 0 0 0 0 0 1 0.3333 49 43 41 1 0 1 0 0.034 0.862 0.104 5 1
PA	0.2360 0.7939 0 0 0 0 0 0 0 0 2 0.6667 35 22 21 0 0 0 0 0.0 0.819 0.181 5 0
OQ_RQ	0.3358 0.3546 0 0 0 0 0 0 0 0 3 1.0000 6 6 6 0 0 0 0 0.0 0.843 0.157 2 0

OQ	1.0000 0.9081 0 0 0 0 0 0 0 0 1 0.3333 85 57 57 1 0 0 0 0.077 0.853 0.071 1 5
IR_PA	0.0625 0.3875 1 0 0 0 0 0 0 0 2 0.6667 53 44 41 0 1 0 0 0.0 0.766 0.234 4 1
PA	0.1857 0.4188 0 0 0 1 0 0 0 0 3 1.0000 21 18 18 0 0 0 0 0.059 0.941 0.0 0 1

OQ	1.0000 0.5579 1 1 0 0 0 0 1 1 1 0.1111 50 42 40 1 0 0 0 0.075 0.876 0.049 0 6
RQ	0.0175 0.1556 1 1 0 0 0 0 0 1 2 0.2222 13 13 13 0 0 0 0 0.0 1.0 0.0 1 1
